User,Enrolled?,Non Enroll score,Enroll score
235136,0,0.8151447193497959,0.18485528065020435
333588,0,0.8150663412600467,0.184933658739953
254414,1,0.12319935881713216,0.8768006411828677
234192,0,0.8125817023383965,0.18741829766160303
51549,0,0.5,0.5
56480,0,0.818045608503623,0.18195439149637696
144649,0,0.8154181088923599,0.18458189110764003
249366,0,0.8173714447490417,0.18262855525095847
372004,0,0.8379111296310348,0.16208887036896524
338013,1,0.1798785491312412,0.8201214508687587
43555,1,0.35183745955180235,0.6481625404481977
317454,1,0.170374476287378,0.829625523712622
205375,0,0.8870903191546725,0.11290968084532745
307608,0,0.832884284966246,0.16711571503375375
359855,1,0.15135048199050113,0.848649518009499
284938,0,0.5320707727298986,0.4679292272701016
235143,1,0.13008076570529362,0.8699192342947062
141402,1,0.10979947176082923,0.8902005282391708
257945,0,0.8365762439962449,0.16342375600375522
54931,0,0.8150685130540525,0.1849314869459475
165432,1,0.3007079716841113,0.6992920283158884
236951,1,0.17321021504444944,0.8267897849555504
110461,1,0.1348278319575862,0.8651721680424138
200187,1,0.20447903041353455,0.7955209695864655
180427,1,0.16668314101786424,0.8333168589821358
359383,1,0.18298916927980186,0.8170108307201981
9810,0,0.8282542836074571,0.17174571639254313
85089,1,0.14548234325054926,0.8545176567494508
143818,1,0.1617343946084716,0.8382656053915284
210060,1,0.19125564439427445,0.8087443556057259
317171,1,0.08337213482151601,0.9166278651784839
198725,1,0.1803738656042375,0.8196261343957624
95362,1,0.46410216518688124,0.5358978348131188
84738,1,0.2802465660004265,0.7197534339995733
74128,1,0.08225781060624612,0.9177421893937537
15995,1,0.44570401131718107,0.5542959886828188
310250,0,0.6323922772818354,0.3676077227181646
133014,0,0.8152022159440949,0.18479778405590505
280456,0,0.855700566468918,0.1442994335310819
133810,1,0.16569731435945712,0.8343026856405428
171351,1,0.31107388369121697,0.6889261163087829
342983,0,0.8147523252913236,0.18524767470867654
62638,1,0.18138622378887706,0.8186137762111229
341292,0,0.9324267864553255,0.06757321354467453
349927,1,0.27882409363573074,0.7211759063642693
67588,1,0.17157152035360707,0.8284284796463928
187179,0,0.8122380035039628,0.18776199649603706
315393,1,0.28193967896085365,0.7180603210391465
23425,1,0.2240045800968283,0.7759954199031718
298577,0,0.817578033986301,0.18242196601369912
357863,0,0.8024172357556115,0.1975827642443885
21700,1,0.0955914520266808,0.9044085479733194
17739,1,0.16450227365814943,0.8354977263418507
246710,1,0.2677634246338259,0.7322365753661741
69760,0,0.8150457803747325,0.18495421962526765
335625,1,0.17514824641000834,0.8248517535899915
91566,0,0.8150063917659764,0.18499360823402364
34071,0,0.8182982200279129,0.18170177997208709
44814,1,0.1450232653121616,0.8549767346878385
117488,0,0.8150648912190855,0.1849351087809145
138117,0,0.5400157950472029,0.4599842049527971
150614,0,0.8222812113204953,0.17771878867950483
366999,0,0.8153330924390814,0.1846669075609188
248925,1,0.16915737805086142,0.8308426219491386
20747,0,0.8644864859468702,0.13551351405312984
354498,0,0.8158516959077083,0.1841483040922917
305707,1,0.1234633427559157,0.8765366572440844
43620,0,0.8150369697454173,0.18496303025458272
199975,1,0.12090018842694776,0.8790998115730523
185092,0,0.7915393068983752,0.20846069310162482
177834,1,0.17132760698759672,0.8286723930124035
235616,0,0.8203017155721146,0.17969828442788524
